Longitud;Latitud;Name;Nombre_PAF;Departamento;Ciudad
-57.71093056;-19.02600278;BIS;ARROYO CONCEPCION;SANTA CRUZ;ARROYO CONCEPCION
-65.25362778;-19.04016111;BIS;JAIME MENDOZA;CHUQUISACA;SUCRE
-65.25775556;-19.04685556;BIS;SAN ALBERTO;CHUQUISACA;SUCRE
-65.26172222;-19.05118611;BIS;SAS;CHUQUISACA;SUCRE
-65.25536111;-19.03410278;BIS;MERCADO CAMPESINO;CHUQUISACA;SUCRE
-65.25940278;-19.04721111;BIS;PLAZA 25 DE MAYO;CHUQUISACA;SUCRE
-65.24587222;-19.04706389;BIS;AVENIDA LAS AMERICAS;CHUQUISACA;SUCRE
-67.10492778;-17.96188333;BIS;TERMINAL;ORURO;ORURO
-67.1108;-17.95075;BIS;SEBASTIAN PAGADOR;ORURO;ORURO
-67.10995018;-17.96041443;BIS;SAN GERARDO;ORURO;ORURO
-67.11416111;-17.96910556;BIS;PLAZA PRINCIPAL;ORURO;ORURO
-67.11413333;-17.96913056;BIS;OFICINA PRINCIPAL ORURO;ORURO;ORURO
-65.75640833;-19.58776111;BIS;BOLIVAR;POTOSI;POTOSI
-65.76015;-19.58289444;BIS;UNIVERSITARIO;POTOSI;POTOSI
-64.72354444;-21.54117778;BIS;TERMINAL;TARIJA;TARIJA
-64.73068611;-21.53545278;BIS;MENDEZ;TARIJA;TARIJA
-64.70886667;-21.54725278;BIS;AEROPUERTO TARIJA;TARIJA;TARIJA
-64.72451944;-21.53969722;BIS;AV. LA PAZ;TARIJA;TARIJA
-63.47363093;-21.26580841;BIS;VILLA MONTES;TARIJA;VILLAMONTES
-63.67843333;-22.01835833;BIS;YACUIBA;TARIJA;YACUIBA
-68.75658889;-11.01776111;BIS;HOTEL SANTA ELENA;PANDO;COBIJA
-64.903375;-14.83304722;BIS;TRINIDAD;BENI;TRINIDAD
-63.18038889;-17.79338056;BIS;BLACUTT;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.148225;-17.38726667;BIS;ANICETO ARCE;COCHABAMBA;COCHABAMBA
-67.11048056;-17.9707;BIS;MERCADO CAMPERO;ORURO;ORURO
-68.07741667;-16.54246111;BIS;CALLE 21;LA PAZ;LA PAZ
-68.0869;-16.52446944;BIS;MERCADO IRPAVI;LA PAZ;LA PAZ
-63.17127222;-17.78772222;BIS;VIEDMA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-65.24834444;-19.03925833;BIS;TERMINAL SUCRE;CHUQUISACA;SUCRE
-68.13037778;-16.50497222;BIS;BICENTENARIO;LA PAZ;LA PAZ
-66.15880833;-17.37288611;BIS;ZONA NORTE;COCHABAMBA;COCHABAMBA
-66.1573;-17.404;BIS;AYACUCHO;COCHABAMBA;COCHABAMBA
-68.06292222;-16.54081667;BIS;COTA COTA;LA PAZ;LA PAZ
-68.13426389;-16.492775;BIS;SAN CALIXTO;LA PAZ;LA PAZ
-63.18305833;-17.77215556;BIS;MONS. RIVERO IV;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.13583356;-16.5091621;BIS;PLAZA EL CÓNDOR;LA PAZ;LA PAZ
-63.20352778;-17.77288889;BIS;IC NORTE SCZ;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.18996893;-16.53428178;BIS;VILLA ADELA;LA PAZ;EL ALTO
-63.16621111;-17.72869444;BIS;HIPERMAXI 6to. ANILLO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.153;-17.398;BIS;CALATAYUD;COCHABAMBA;COCHABAMBA
-63.17436944;-17.77050278;BIS;CRISTOBAL DE MENDOZA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.12216667;-16.51073611;BIS;MULTICINE;LA PAZ;LA PAZ
-68.14112778;-16.48866389;BIS;TERMINAL LPZ;LA PAZ;LA PAZ
-64.73394444;-21.53111111;BIS;DOMINGO PAZ;TARIJA;TARIJA
-68.13383056;-16.49892222;BIS;AG. CAMACHO II;LA PAZ;LA PAZ
-63.19128333;-17.7966;BIS;GRIGOTÁ;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19899444;-17.759475;BIS;EQUIPETROL;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17819444;-17.7588;BIS;FIDALGA NORTE;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.14769722;-16.49549167;BIS;UYUSTUS;LA PAZ;LA PAZ
-68.097175;-16.53646389;BIS;BAJO SEGUENCOMA;LA PAZ;LA PAZ
-65.25849167;-19.04447222;BIS;HERNANDO SILES;CHUQUISACA;SUCRE
-64.74036944;-21.53138611;BIS;LOS CEIBOS;TARIJA;TARIJA
-67.10424444;-17.96911944;BIS;AV. DEL EJERCITO;ORURO;ORURO
-68.07672778;-16.53278611;BIS;FRANCO BOLIVIANO;LA PAZ;LA PAZ
-63.15404444;-17.77327778;BIS;HOSPITAL JAPONES;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19084722;-17.79264722;BIS;ISABEL LA CATOLICA;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.19108889;-17.81064167;BIS;ALTO SAN PEDRO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.03863333;-17.402325;BIS;SACABA;COCHABAMBA;SACABA
-65.26571389;-19.05389722;BIS;CEMENTERIO;CHUQUISACA;SUCRE
-66.23776389;-17.39124722;BIS;COLCAPIRHUA;COCHABAMBA;COLCAPIRHUA
-63.18386111;-17.81835833;BIS;SANTOS DUMONT;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.2049;-17.79114722;BIS;CHIRIGUANO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-65.26728611;-19.04501111;BIS;HOSPITAL;CHUQUISACA;SUCRE
-65.2612;-19.03581111;BIS;SAN MATIAS;CHUQUISACA;SUCRE
-66.1703;-17.3876;BIS;PERU;COCHABAMBA;COCHABAMBA
-68.08948056;-16.56762778;BIS;MALLASA;LA PAZ;LA PAZ
-63.47362684;-21.26589095;BIS;VILLA MONTES II;TARIJA;VILLAMONTES
-66.14708333;-17.41919444;BIS;AV. SUECIA;COCHABAMBA;COCHABAMBA
-63.18535278;-17.74991389;BIS;HIPERMAXI RADIAL 26;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.52024444;-20.03830556;BIS;CAMIRI II;SANTA CRUZ;CAMIRI
-63.13453611;-17.79779444;BIS;HIPER VILLA 1o. DE MAYO;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17435;-17.77071389;BIS;CRISTOBAL DE MENDOZA II;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
